timestamp (CST)	stage (ft)
2016-06-12 11:15:03-05	0.83
2016-06-12 11:30:13-05	0.79
2016-06-12 11:45:07-05	0.83
2016-06-12 12:00:02-05	0.83
2016-06-12 12:15:13-05	0.81
2016-06-12 12:30:07-05	0.81
2016-06-12 12:45:02-05	0.78
2016-06-12 13:00:12-05	0.84
2016-06-12 13:15:07-05	0.81
2016-06-12 13:30:02-05	0.82
2016-06-12 13:45:13-05	0.82
2016-06-12 14:00:07-05	0.79
2016-06-12 14:15:03-05	0.83
2016-06-12 14:30:13-05	0.82
2016-06-12 14:45:08-05	0.82
2016-06-12 15:00:03-05	0.82
2016-06-12 15:15:13-05	0.81
2016-06-12 15:30:08-05	0.79
2016-06-12 15:45:00-05	0.79
2016-06-12 16:00:10-05	0.79
2016-06-12 16:15:05-05	0.79
2016-06-12 16:30:00-05	0.77
2016-06-12 16:45:10-05	0.76
2016-06-12 17:00:05-05	0.76
2016-06-12 17:15:00-05	0.74
2016-06-12 17:30:10-05	0.76
2016-06-12 17:45:05-05	0.75
2016-06-12 18:00:00-05	0.76
2016-06-12 18:15:11-05	0.76
2016-06-12 18:30:06-05	0.77
2016-06-12 18:45:01-05	0.78
2016-06-12 19:00:09-05	0.78
2016-06-12 19:15:06-05	0.79
2016-06-12 19:30:04-05	0.78
2016-06-12 19:45:14-05	0.75
2016-06-12 20:00:09-05	0.75
2016-06-12 20:15:04-05	0.73
2016-06-12 20:30:14-05	0.73
2016-06-12 20:45:09-05	0.74
2016-06-12 21:00:04-05	0.75
2016-06-12 21:15:14-05	0.75
2016-06-12 21:30:14-05	0.76
2016-06-12 21:45:08-05	0.75
2016-06-12 22:00:03-05	0.78
2016-06-12 22:15:13-05	0.78
2016-06-12 22:30:07-05	0.78
2016-06-12 22:45:03-05	0.79
2016-06-12 23:00:13-05	0.8
2016-06-12 23:15:07-05	0.83
2016-06-12 23:30:02-05	0.82
2016-06-12 23:45:14-05	0.82
2016-06-13 00:00:09-05	0.81
2016-06-13 00:15:05-05	0.82
2016-06-13 00:30:01-05	0.81
2016-06-13 00:45:11-05	0.81
2016-06-13 01:00:05-05	0.81
2016-06-13 01:15:00-05	0.8
2016-06-13 01:30:10-05	0.8
2016-06-13 01:45:05-05	0.81
2016-06-13 02:00:00-05	0.8
2016-06-13 02:15:09-05	0.81
2016-06-13 02:30:04-05	0.81
2016-06-13 02:45:14-05	0.81
2016-06-13 03:00:09-05	0.8
2016-06-13 03:15:04-05	0.8
2016-06-13 03:30:14-05	0.8
2016-06-13 03:45:09-05	0.81
2016-06-13 04:00:03-05	0.81
2016-06-13 04:15:13-05	0.81
2016-06-13 04:30:07-05	0.81
2016-06-13 04:45:03-05	0.82
2016-06-13 05:00:12-05	0.82
2016-06-13 05:15:08-05	0.81
2016-06-13 05:30:04-05	0.82
2016-06-13 05:45:14-05	0.81
2016-06-13 06:00:08-05	0.82
2016-06-13 06:15:03-05	0.83
2016-06-13 06:30:13-05	0.85
2016-06-13 06:45:07-05	0.85
