	timestamp(CST)	stage(ft)
0	2016-07-12 11:00:08-05	0.66
1	2016-07-12 10:45:03-05	0.68
2	2016-07-12 10:30:11-05	0.7
3	2016-07-12 10:15:06-05	0.7
4	2016-07-12 10:00:00-05	0.69
5	2016-07-12 09:45:10-05	0.7
6	2016-07-12 09:30:04-05	0.69
7	2016-07-12 09:15:14-05	0.7
8	2016-07-12 09:00:08-05	0.7
9	2016-07-12 08:45:02-05	0.7
10	2016-07-12 08:30:11-05	0.7
11	2016-07-12 08:15:06-05	0.7
12	2016-07-12 08:00:00-05	0.71
13	2016-07-12 07:45:09-05	0.71
14	2016-07-12 07:30:04-05	0.71
15	2016-07-12 07:15:13-05	0.72
16	2016-07-12 07:00:08-05	0.73
17	2016-07-12 06:45:03-05	0.73
18	2016-07-12 06:30:13-05	0.73
19	2016-07-12 06:15:07-05	0.73
20	2016-07-12 06:00:02-05	0.72
21	2016-07-12 05:45:11-05	0.71
22	2016-07-12 05:30:06-05	0.67
23	2016-07-12 05:15:00-05	0.66
24	2016-07-12 05:00:09-05	0.63
25	2016-07-12 04:45:04-05	0.61
26	2016-07-12 04:30:13-05	0.55
27	2016-07-12 04:15:08-05	0.5
28	2016-07-12 04:00:02-05	0.5
29	2016-07-12 03:45:09-05	0.52
30	2016-07-12 03:30:05-05	0.49
31	2016-07-12 03:15:00-05	0.45
32	2016-07-12 03:00:01-05	0.48
33	2016-07-12 02:45:10-05	0.45
34	2016-07-12 02:30:02-05	0.46
35	2016-07-12 02:15:11-05	0.49
36	2016-07-12 02:00:05-05	0.47
37	2016-07-12 01:45:10-05	0.46
38	2016-07-12 01:30:02-05	0.46
39	2016-07-12 01:15:12-05	0.49
40	2016-07-12 01:00:06-05	0.48
41	2016-07-12 00:45:01-05	0.48
42	2016-07-12 00:30:10-05	0.39
43	2016-07-12 00:15:05-05	0.38
44	2016-07-12 00:00:00-05	0.32
45	2016-07-11 23:45:09-05	0.35
46	2016-07-11 23:30:03-05	0.41
47	2016-07-11 23:15:13-05	0.4
48	2016-07-11 23:00:07-05	0.38
49	2016-07-11 22:45:02-05	0.4
50	2016-07-11 22:30:11-05	0.38
51	2016-07-11 22:15:06-05	0.39
52	2016-07-11 22:00:00-05	0.38
53	2016-07-11 21:45:09-05	0.39
54	2016-07-11 21:30:04-05	0.39
55	2016-07-11 21:15:13-05	0.37
56	2016-07-11 21:00:10-05	0.39
57	2016-07-11 20:45:04-05	0.37
58	2016-07-11 20:30:12-05	0.37
59	2016-07-11 20:15:07-05	0.36
60	2016-07-11 20:00:02-05	0.36
61	2016-07-11 19:45:11-05	0.35
62	2016-07-11 19:30:05-05	0.35
63	2016-07-11 19:15:00-05	0.34
64	2016-07-11 19:00:10-05	0.34
65	2016-07-11 18:45:10-05	0.33
66	2016-07-11 18:30:05-05	0.31
67	2016-07-11 18:15:14-05	0.33
68	2016-07-11 18:00:09-05	0.34
69	2016-07-11 17:45:04-05	0.34
70	2016-07-11 17:30:13-05	0.34
71	2016-07-11 17:15:07-05	0.37
72	2016-07-11 17:00:02-05	0.37
73	2016-07-11 16:45:10-05	0.39
74	2016-07-11 16:30:05-05	0.39
75	2016-07-11 16:15:14-05	0.42
76	2016-07-11 16:00:08-05	0.41
77	2016-07-11 15:45:03-05	0.42
78	2016-07-11 15:30:12-05	0.43
79	2016-07-11 15:15:06-05	0.44
80	2016-07-11 15:00:00-05	0.44
81	2016-07-11 14:45:10-05	0.44
82	2016-07-11 14:30:04-05	0.46
83	2016-07-11 14:15:12-05	0.46
84	2016-07-11 14:00:06-05	0.48
85	2016-07-11 13:45:01-05	0.48
86	2016-07-11 13:30:10-05	0.5
87	2016-07-11 13:15:04-05	0.51
88	2016-07-11 13:00:13-05	0.51
89	2016-07-11 12:45:07-05	0.49
90	2016-07-11 12:30:02-05	0.52
91	2016-07-11 12:15:11-05	0.5
92	2016-07-11 12:00:06-05	0.54
93	2016-07-11 11:45:01-05	0.52
94	2016-07-11 11:30:10-05	0.52
95	2016-07-11 11:15:05-05	0.53
96	2016-07-11 11:00:14-05	0.52
97	2016-07-11 10:45:08-05	0.53
98	2016-07-11 10:30:03-05	0.53
99	2016-07-11 10:15:12-05	0.52
100	2016-07-11 10:00:06-05	0.52
101	2016-07-11 09:45:01-05	0.54
