timestamp (CST)	stage (ft)
2016-06-12 11:15:18-05	4.55
2016-06-12 11:30:23-05	4.56
2016-06-12 11:45:27-05	4.56
2016-06-12 12:00:16-05	4.56
2016-06-12 12:15:21-05	4.55
2016-06-12 12:30:26-05	4.57
2016-06-12 12:45:30-05	4.58
2016-06-12 13:00:20-05	4.56
2016-06-12 13:15:26-05	4.58
2016-06-12 13:30:30-05	4.56
2016-06-12 13:45:19-05	4.58
2016-06-12 14:00:24-05	4.57
2016-06-12 14:15:28-05	4.58
2016-06-12 14:30:19-05	4.57
2016-06-12 14:45:23-05	4.55
2016-06-12 15:00:28-05	4.55
2016-06-12 15:15:17-05	4.53
2016-06-12 15:30:22-05	4.54
2016-06-12 15:45:27-05	4.51
2016-06-12 16:00:31-05	4.5
2016-06-12 16:15:20-05	4.47
2016-06-12 16:30:25-05	4.46
2016-06-12 16:45:29-05	4.45
2016-06-12 17:00:19-05	4.44
2016-06-12 17:15:23-05	4.43
2016-06-12 17:30:27-05	4.4
2016-06-12 17:45:17-05	4.36
2016-06-12 18:00:22-05	4.37
2016-06-12 18:15:27-05	4.37
2016-06-12 18:30:17-05	4.36
2016-06-12 18:45:23-05	4.36
2016-06-12 19:00:28-05	4.38
2016-06-12 19:15:18-05	4.4
2016-06-12 19:30:22-05	4.39
2016-06-12 19:45:27-05	4.38
2016-06-12 20:00:16-05	4.39
2016-06-12 20:15:23-05	4.38
2016-06-12 20:30:27-05	4.37
2016-06-12 20:45:17-05	4.36
2016-06-12 21:00:21-05	4.34
2016-06-12 21:15:26-05	4.34
2016-06-12 21:30:30-05	4.33
2016-06-12 21:45:20-05	4.31
2016-06-12 22:00:24-05	4.31
2016-06-12 22:30:29-05	4.3
2016-06-12 22:45:19-05	4.28
2016-06-12 23:00:24-05	4.26
2016-06-12 23:15:29-05	4.26
2016-06-12 23:30:18-05	4.25
2016-06-12 23:45:23-05	4.24
2016-06-13 00:00:27-05	4.22
2016-06-13 00:15:16-05	4.22
2016-06-13 00:30:24-05	4.2
2016-06-13 00:45:30-05	4.18
2016-06-13 01:00:19-05	4.16
2016-06-13 01:15:25-05	4.14
2016-06-13 01:30:28-05	4.14
2016-06-13 01:45:17-05	4.14
2016-06-13 02:00:22-05	4.13
2016-06-13 02:15:26-05	4.14
2016-06-13 02:30:31-05	4.11
2016-06-13 02:45:21-05	4.09
2016-06-13 03:00:25-05	4.11
2016-06-13 03:15:29-05	4.08
2016-06-13 03:30:19-05	4.08
2016-06-13 03:45:23-05	4.05
2016-06-13 04:00:28-05	4.04
2016-06-13 04:15:18-05	4.04
2016-06-13 04:30:23-05	4.05
2016-06-13 04:45:27-05	4.0
2016-06-13 05:00:17-05	4.01
2016-06-13 05:15:21-05	3.99
2016-06-13 05:30:26-05	3.96
2016-06-13 05:45:30-05	3.98
2016-06-13 06:00:19-05	3.99
2016-06-13 06:15:24-05	3.99
2016-06-13 06:30:28-05	3.96
2016-06-13 06:45:18-05	3.97
2016-06-13 07:00:22-05	3.96
2016-06-13 07:15:26-05	3.94
2016-06-13 07:30:18-05	3.93
2016-06-13 07:45:22-05	3.93
2016-06-13 08:00:26-05	3.93
2016-06-13 08:15:30-05	3.94
2016-06-13 08:30:20-05	3.93
2016-06-13 08:45:24-05	3.93
2016-06-13 09:00:28-05	3.92
2016-06-13 09:15:18-05	3.91
2016-06-13 09:30:23-05	3.9
2016-06-13 09:45:28-05	3.87
2016-06-13 10:00:17-05	3.86
2016-06-13 10:15:22-05	3.86
2016-06-13 10:30:26-05	3.86
2016-06-13 10:45:31-05	3.85
2016-06-13 11:00:20-05	3.84
2016-06-13 11:15:24-05	3.84
2016-06-13 11:30:29-05	3.84
2016-06-13 11:45:18-05	3.83
2016-06-13 12:00:22-05	3.79
2016-06-13 12:30:29-05	3.77
2016-06-13 12:45:18-05	3.73
2016-06-13 13:00:23-05	3.74
2016-06-13 13:15:28-05	3.72
2016-06-13 13:30:17-05	3.73
2016-06-13 13:45:22-05	3.7
2016-06-13 14:00:27-05	3.69
2016-06-13 14:15:17-05	3.67
2016-06-13 14:30:21-05	3.68
2016-06-13 14:45:26-05	3.65
2016-06-13 15:00:30-05	3.67
