ifis_id	nwm_id	bottom_width	channel_slope	elevation	mannings	musk_coeff	order	rout_time	slope	dynamics	lat	lon
SUGARCR01	6964725	7	0.050000000999999995	192.67	0.059999999000000005	0.2	2	3600	0.002	1.0	40.784478	-91.571362
WFLTLSIOUX01	17234610	20	0.050000000999999995	347.25	0.050000000999999995	0.2	5	3600	0.0	0.5	42.492951	-96.075634
ELKRN01	22476613	10	0.050000000999999995	261.22	0.055	0.2	3	3600	0.001	0.5	42.498051000000004	-92.252549
LTLSIOUX03	14620488	20	0.050000000999999995	402.20999	0.050000000999999995	0.2	5	3600	0.0	0.0	43.184267999999996	-95.19147199999999
HOOSRCR01	17540059	10	0.050000000999999995	218.08	0.055	0.2	3	3600	0.01	1.0	41.8715	-91.5882
EFDSMNS01	6591640	15	0.050000000999999995	333.84	0.055	0.2	4	3600	0.0	0.0	42.951322	-94.2335
COONCR01	22475999	10	0.050000000999999995	268.23999	0.055	0.2	3	3600	0.0	0.75	42.191457	-92.455621
NONIONCR02	6978914	5	0.050000000999999995	343.09	0.059999999000000005	0.2	1	3600	0.008	0.0	42.080946999999995	-93.796038
SQWCR03	6978828	15	0.050000000999999995	284.31	0.055	0.2	4	3600	0.001	0.66	42.123027	-93.715057
BEVRCRK02	6571930	7	0.050000000999999995	333.39999	0.059999999000000005	0.2	2	3600	0.002	0.0	42.4553	-93.2233
FLOYDRV01	17240074	20	0.050000000999999995	366.42999	0.050000000999999995	0.2	5	3600	0.001	0.0	42.800270000000005	-96.17456899999999
WNBGORV04	6566163	15	0.050000000999999995	356.12	0.055	0.2	4	3600	0.002	0.25	43.263058	-93.41806700000001
TIPTNCR01	6572202	5	0.050000000999999995	334.67001	0.059999999000000005	0.2	1	3600	0.006	0.75	42.31399999999999	-93.23200000000001
IOWARV01	11916345	5	0.050000000999999995	188.94	0.059999999000000005	0.2	1	3600	0.0	0.7	41.554742	-91.51894300000001
FLOYDRV02	17239422	15	0.050000000999999995	417.73999	0.055	0.2	4	3600	0.001	1.0	43.185438	-95.868443
ENISH04	19164455	15	0.050000000999999995	361.39001	0.055	0.2	4	3600	0.003	0.0	41.5117	-94.9359
CEDARRV03	7017099	20	0.050000000999999995	283.12	0.050000000999999995	0.2	5	3600	0.001	1.0	42.84742	-92.52211
SFIOWA02	6571952	10	0.050000000999999995	335.26001	0.055	0.2	3	3600	0.001	0.0	42.4527	-93.3846
UIWARV01	13336882	15	0.050000000999999995	271.70001	0.055	0.2	4	3600	0.001	0.5	43.34	-91.8339
FOURMLE03	22248743	7	0.050000000999999995	278.31	0.059999999000000005	0.2	2	3600	0.001	0.75	41.769758	-93.589724
CLRCRKW01	11915327	7	0.050000000999999995	230.10001	0.059999999000000005	0.2	2	3600	0.017999999	1.0	41.7166	-91.8907
INDIAN01	19209533	10	0.050000000999999995	318.92999	0.055	0.2	3	3600	0.003	0.0	41.016892999999996	-95.396478
TRBLSM01	19165449	15	0.050000000999999995	362.85001	0.055	0.2	4	3600	0.004	0.0	41.4611	-94.8872
WNBGORV06	6566003	5	0.050000000999999995	369.69	0.059999999000000005	0.2	1	3600	0.003	0.25	43.342286	-93.630953
DEERCR01	11915477	7	0.050000000999999995	209.39999	0.059999999000000005	0.2	2	3600	0.003	1.0	41.6807	-91.6373
PRICECR02	17540167	7	0.050000000999999995	235.50999	0.059999999000000005	0.2	2	3600	0.003	1.0	41.845468	-91.947936
LTLCEDAR01	7016981	15	0.050000000999999995	290.01001	0.055	0.2	4	3600	0.0	1.0	42.957907	-92.518955
SQWCR07	6979112	7	0.050000000999999995	328.39999	0.059999999000000005	0.2	2	3600	0.001	0.0	42.267459	-93.892888
ENISH03	19166535	20	0.050000000999999995	323.04999	0.050000000999999995	0.2	5	3600	0.0	0.0	41.145514	-95.176348
FOURMLE02	22248821	10	0.050000000999999995	253.00999	0.055	0.2	3	3600	0.0	0.0	41.6584	-93.5457
MDCRK01	19209273	10	0.050000000999999995	313.70001	0.055	0.2	3	3600	0.0	0.25	41.0986	-95.51700000000001
WNBGORV01	6566339	7	0.050000000999999995	321.39001	0.059999999000000005	0.2	2	3600	0.006999999999999999	0.0	43.121176	-93.1227
LTLWLNT01	6609728	7	0.050000000999999995	271.39999	0.059999999000000005	0.2	2	3600	0.0	1.0	41.633309000000004	-93.833329
CLRCRK02	11915331	10	0.050000000999999995	217.92	0.055	0.2	3	3600	0.001	0.0	41.714222	-91.77911
LTLWAPSI01	6946814	15	0.050000000999999995	332.13	0.055	0.2	4	3600	0.0	0.0	43.112665	-92.40527
SHLRK04	6560043	15	0.050000000999999995	319.98999	0.055	0.2	4	3600	0.0	0.5	43.166203	-93.038048
RAVENCR01	17541357	10	0.050000000999999995	255.67999	0.055	0.2	3	3600	0.002	0.0	41.9646	-92.6702
BIGCRK07	6596868	5	0.050000000999999995	329.51001	0.059999999000000005	0.2	1	3600	0.002	0.0	42.008386	-93.819569
MDDLRCCN02	6619994	15	0.050000000999999995	341.34	0.055	0.2	4	3600	0.0	0.0	41.875301	-94.669845
LTLCEDAR02	7016069	15	0.050000000999999995	328.92999	0.055	0.2	4	3600	0.001	0.5	43.226619	-92.677493
CHQSTCR01	5000661	15	0.050000000999999995	189.85001	0.055	0.2	4	3600	0.0	1.0	40.772143	-92.092274
ENISH02	19166947	20	0.050000000999999995	302.01001	0.050000000999999995	0.2	5	3600	0.0	0.0	40.915696000000004	-95.275368
RBRTSCR01	13311849	20	0.050000000999999995	228.98	0.050000000999999995	0.2	5	3600	0.003	0.6	42.8741	-91.3827
SENGLSH01	11916197	15	0.050000000999999995	210.28	0.055	0.2	4	3600	0.0	1.0	41.4938	-91.9439
DRNGDTCH01	22471657	10	0.050000000999999995	291.10001	0.055	0.2	3	3600	0.002	1.0	42.577661	-92.847178
GLACIAL01	6978726	10	0.050000000999999995	299.48999	0.055	0.2	3	3600	0.001	0.0	42.192334	-93.77624399999999
DRYCRK02	17554945	10	0.050000000999999995	258.76999	0.055	0.2	3	3600	0.001	0.0	42.0947	-91.6381
TALYNNS01	6978730	10	0.050000000999999995	298.72	0.055	0.2	3	3600	0.0	0.0	42.18582	-93.757049
GLBRTCR01	6978882	5	0.050000000999999995	288.89999	0.059999999000000005	0.2	1	3600	0.006	0.0	42.096392	-93.659041
CLRCRK03	11915285	10	0.050000000999999995	234.67999	0.055	0.2	3	3600	0.003	0.0	41.730501000000004	-91.907046
SONIONTR01	6979180	5	0.050000000999999995	332.07999	0.059999999000000005	0.2	1	3600	0.004	0.0	42.040508	-93.776433
CEDARRV04	7016553	20	0.050000000999999995	333.14999	0.050000000999999995	0.2	5	3600	0.0	0.0	43.355409	-92.925178
OTTRCRK04	13311309	10	0.050000000999999995	331.48001	0.055	0.2	3	3600	0.004	0.33	42.947140999999995	-91.794949
OTTRCRK01	13311169	10	0.050000000999999995	243.55	0.055	0.2	3	3600	0.0	0.6	42.9564	-91.6266
KEGCR01	7310629	15	0.050000000999999995	307.98001	0.055	0.2	4	3600	0.0	0.6	41.138551	-95.704489
MRGNCR01	22477361	7	0.050000000999999995	220.97	0.059999999000000005	0.2	2	3600	0.005	1.0	41.9954	-91.7561
INDCR02	17555591	15	0.050000000999999995	223.19	0.055	0.2	4	3600	0.001	1.0	41.994834000000004	-91.61775300000001
WLLWCR02	6566589	10	0.050000000999999995	339.51999	0.055	0.2	3	3600	0.0	0.0	43.155786	-93.220835
LTLSOAP01	4999791	10	0.050000000999999995	198.09	0.055	0.2	3	3600	0.001	0.33	40.900895	-92.333087
SQWCR05	6978710	10	0.050000000999999995	310.66	0.055	0.2	3	3600	0.002	0.0	42.227028999999995	-93.815652
BIGCRK05	6596910	5	0.050000000999999995	321.79001	0.059999999000000005	0.2	1	3600	0.005	0.0	41.965090999999994	-93.770412
CHSLSCR01	6566307	7	0.050000000999999995	360.82999	0.059999999000000005	0.2	2	3600	0.0	1.0	43.133826	-93.226035
BEAVER01	7016345	7	0.050000000999999995	307.89999	0.059999999000000005	0.2	2	3600	0.002	0.66	43.066578	-92.528143
VLGARV01	13312105	20	0.050000000999999995	237.74001	0.050000000999999995	0.2	5	3600	0.0	0.5	42.8015	-91.5372
LTLSIOUX02	14620538	30	0.050000000999999995	396.42001	0.050000000999999995	0.2	6	3600	0.0	0.66	43.136752	-95.144196
WNBGORV03	6566213	5	0.050000000999999995	356.32001	0.059999999000000005	0.2	1	3600	0.006999999999999999	0.0	43.220065000000005	-93.299808
INDCR04	17554901	10	0.050000000999999995	246.71001	0.055	0.2	3	3600	0.0	1.0	42.093796999999995	-91.56084399999999
LTLTKY01	13309381	20	0.050000000999999995	286.98001	0.050000000999999995	0.2	5	3600	0.001	0.25	43.0089	-91.8694
NBRCRKD01	6978652	7	0.050000000999999995	314.64001	0.059999999000000005	0.2	2	3600	0.001	0.0	42.263424	-93.815699
DUCKCR01	14803989	10	0.050000000999999995	188.67	0.055	0.2	3	3600	0.002	0.6	41.549912	-90.551328
WNISH01	19209121	20	0.050000000999999995	312.16	0.050000000999999995	0.2	5	3600	0.001	0.25	41.146319	-95.441864
CEDARRV05	7016633	20	0.050000000999999995	346.97	0.050000000999999995	0.2	5	3600	0.0	0.25	43.499606	-93.001956
INDCR01	17555611	15	0.050000000999999995	213.13	0.055	0.2	4	3600	0.0	1.0	41.976434000000005	-91.57812
DRYCR02	22473581	10	0.050000000999999995	238.5	0.055	0.2	3	3600	0.002	1.0	42.0217	-91.8535
