site_id	lat	lon	drainage_area
05387320	43.46677778	-92.29752780	181
05387405	43.44130556	-92.03594440	281
05387440	43.40691316	-91.89904640	367
05387490	43.29136110	-91.80932150	21.0
05387500	43.30488880	-91.79554290	511
05388250	43.42108410	-91.50875190	770
05388310	43.45108357	-91.50514070	43.6
05389000	43.11192665	-91.26513170	221
05389400	43.04081747	-91.20651920	34.13
05389500	43.02701224	-91.17262980	67500
05411500	42.90359810	-91.14512960	79200
05411600	43.20727778	-91.95033330	177
05411850	43.05418790	-91.80909830	641
05411900	42.95241667	-91.64297220	46.2
05412020	42.84348517	-91.40127670	903
05412340	42.84413889	-91.81816670	130
05412400	42.75387530	-91.36902520	348
05412500	42.73998840	-91.26179900	1545
05414400	42.56055427	-90.85985079	30.2
05416900	42.46998780	-91.44871470	275
05418110	42.47033330	-91.12455560	122
05418400	42.16433330	-90.72933330	505
05418500	42.08335324	-90.63291240	1553
05418720	42.16386110	-90.33508330	1869
05420400	41.89447250	-90.15679300	85600
05420460	41.82725169	-90.19040450	85600
05420500	41.78058635	-90.25207300	85600
05420680	42.83609117	-92.25740030	346
05420850	42.71469444	-92.04155560	94.1
05421000	42.46359796	-91.89517220	1048
05421682	42.19583330	-91.42277780	189
05421740	42.08333856	-91.26738180	1575
05421760	41.97194444	-90.96000000	1792
05421890	41.91502540	-90.60013690	9.03
05422000	41.76697439	-90.53485880	2336
05422470	41.55114445	-90.45513220	17.8
05422560	41.55669745	-90.68764090	16.1
05422600	41.54614409	-90.52402370	57.3
05448400	43.10246170	-93.78466430	21.2
05449500	42.75994409	-93.62184890	429
05451080	42.54361110	-93.58944440	12
05451210	42.31508330	-93.15205560	224
05451500	42.06582096	-92.90769970	1532
05451700	42.00887760	-92.85242100	118
05451770	41.96425556	-92.63655000	1882
05451900	41.89943868	-92.47435500	56.1
05451955	42.07943800	-92.30018640	23.4
05452000	41.96416188	-92.31324180	201
05452200	41.83499690	-92.38629700	70.9
05452500	41.85905556	-92.27791670	2455
05453000	41.74944709	-92.18212670	189
05453100	41.81272566	-92.06479200	2794
05453200	41.80500685	-91.87323360	29.10
05453520	41.71529327	-91.53016980	3115
05454000	41.70001650	-91.48766840	25.3
05454090	41.70000000	-91.56277780	8.7
05454220	41.71834550	-91.74017370	58.4
05454300	41.67668186	-91.59878120	98.1
05454500	41.65668320	-91.54100170	3271
05455010	41.65140608	-91.50766750	2.94
05455100	41.60640518	-91.61572419	201
05455230	41.59139226	-92.35518410	30.5
05455500	41.46973870	-91.71461290	574
05455700	41.42377778	-91.47852780	4293
05457440	43.41496540	-92.98491870	91.60
05457505	43.28347220	-92.85250000	839
05457700	43.06219456	-92.67388350	1054
05458000	43.03328014	-92.50354350	306
05458300	42.73721967	-92.47009000	1547
05458500	42.64831555	-92.46518590	1661
05458900	42.62942610	-92.54352199	846
05459490	43.21329319	-93.21075940	29.3
05459500	43.16496176	-93.19270340	526
05460000	43.12416667	-93.38388890	22.6
05460400	43.00538889	-92.92558330	1251
05462000	42.71192450	-92.58296640	1746
05463000	42.57200000	-92.61827780	347
05463050	42.53756756	-92.44349290	4734
05463500	42.40776390	-92.46324510	303
05464000	42.49554190	-92.33435160	5146
05464220	42.25152778	-92.29888890	299
05464315	42.17082830	-92.02379170	6040
05464420	42.06916346	-91.78518030	6342
05464500	41.97194549	-91.66712390	6510
05464695	42.03094444	-91.61186110	68.1
05464730	41.96300000	-91.57708330	6830
05464780	41.78722220	-91.31375000	7075
0546494140	41.69038889	-91.35044440	1.95
0546494150	41.69058330	-91.35019440	1.46
0546494170	41.67358330	-91.34369440	4.60
05464942	41.66958330	-91.35063890	2.58
0546494205	41.67005556	-91.34452780	2.76
05465000	41.40919179	-91.29043350	7787
05465500	41.17808610	-91.18209390	12500
05465700	41.10319444	-91.06352780	12630
05469860	42.31442529	-93.63993800	65.4
05469990	42.15026194	-93.62049470	31.0
05470000	42.06651320	-93.62013430	315
05470500	42.02304157	-93.63049620	204
05471000	42.00665328	-93.59549500	556
05471050	41.68137760	-93.24659390	803
05471200	41.80526578	-93.30937350	276
05471500	41.35569870	-92.65735889	1635
05472500	41.30084520	-92.20462550	730
05473065	41.08794444	-91.72036110	3237
05473400	40.92530537	-91.67421950	530
05473450	41.00697270	-91.55154970	58.0
05474000	40.75365038	-91.27709420	4312
05476500	43.39745897	-94.84415330	1372
05476590	43.12607549	-94.70609190	1672
05476735	42.80552770	-94.46247350	96.6
05476750	42.71941580	-94.22051820	2256
05478265	43.08227778	-94.23086110	884
05479000	42.72358240	-94.19348900	1308
05480080	42.52919444	-94.25669440	275
05480500	42.50830276	-94.20357320	4190
05480820	42.72441667	-93.94669440	418
05480930	42.73191657	-93.70743550	13.30
05481000	42.43247506	-93.80577620	844
05481300	42.25192030	-93.99689750	5452
05481510	42.16636699	-94.01995430	23.50
05481650	41.68054390	-93.66827550	5841
05481950	41.68832155	-93.73550020	358
05482000	41.61248906	-93.62105130	6245
05482300	42.35475000	-94.99033330	700
05482315	42.30414995	-95.04193480	23.3
05482430	42.16908330	-94.72602780	1238
05482500	41.98803907	-94.37691270	1619
05483318	41.94581909	-94.87943060	45.0
05483349	42.04165195	-94.87887520	6.58
05483450	41.77908330	-94.49286110	375
05483470	41.69554227	-94.38163330	433
05483600	41.68720900	-94.37107730	440
05484000	41.58943240	-94.15134630	994
05484500	41.53387790	-93.94995030	3441
05484600	41.53171179	-93.78197290	3500
05484650	41.56165610	-93.70355390	3529
05484800	41.58721140	-93.70327620	78.4
05484900	41.58165598	-93.64299640	3625
05485500	41.57776716	-93.60549510	9879
05485605	41.71737710	-93.57013320	62.0
05485640	41.61387800	-93.54549320	92.7
05486000	41.45790739	-93.65496850	349
05486490	41.42415810	-93.58743860	489.4
05487470	41.33721569	-93.48632460	460
05487520	41.48940000	-93.27825000	11700
05487980	41.24663889	-93.29016670	333
05488110	41.36055325	-92.97325560	12330
05488200	41.30055336	-93.04548050	90.1
