#
#
# US Geological Survey
# retrieved: 2017-04-10 14:20:05 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2017-04-10 14:20:05 EDT
#
# there are 1549 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
5s	15s	50s	16n	16n	1s	10s
USGS	05317650	Blue Earth River near Lakota, IA	43.42967950	-94.06995840	F	NAD83
USGS	05317700	Union Slough Outlet near Lakota, IA	43.39995800	-94.11384880	F	NAD83
USGS	05317800	West Branch Blue Earth River at MN-IA State Line	43.50006670	-94.15093430	F	NAD83
USGS	05387300	Upper Iowa River at Chester, IA	43.49107680	-92.36211570	F	NAD83
USGS	05387313	Unknown Trib to Beaver Creek near Lime Springs, IA	43.44138889	-92.32611110	5	NAD83
USGS	05387320	Upper Iowa River at Lime Springs, IA	43.46677778	-92.29752780	1	NAD83
USGS	05387400	Upper Iowa River near Kendallville, IA	43.46461110	-92.03888890	1	NAD83
USGS	05387405	Upper Iowa River at Kendallville, IA	43.44130556	-92.03594440	1	NAD83
USGS	05387440	Upper Iowa River at Bluffton, IA	43.40691316	-91.89904640	F	NAD83
USGS	05387490	Dry Run Creek near Decorah, IA	43.29136110	-91.80932150	F	NAD83
USGS	05387500	Upper Iowa River at Decorah, IA	43.30488880	-91.79554290	S	NAD83
USGS	05387700	Trout Run below Fish Hatchery near Decorah, IA	43.27608416	-91.77765350	F	NAD83
USGS	05388000	Upper Iowa River near Decorah, IA	43.30552840	-91.74265150	F	NAD83
USGS	05388100	Canoe Creek near Decorah, IA	43.35469469	-91.67653700	F	NAD83
USGS	05388250	Upper Iowa River near Dorchester, IA	43.42108410	-91.50875190	F	NAD83
USGS	05388300	Bear Creek near Highlandville, IA	43.44858228	-91.61153380	F	NAD83
USGS	05388310	Waterloo Creek near Dorchester, IA	43.45108357	-91.50514070	F	NAD83
USGS	05388320	Bear Creek near Dorchester, IA	43.42691730	-91.51125200	F	NAD83
USGS	05388325	Silver Creek near Hanover, IA	43.38888889	-91.46027780	5	NAD83
USGS	05388340	Upper Iowa River near Lansing, IA	43.47358460	-91.29457840	F	NAD83
USGS	05388350	Village Creek at Village Creek, IA	43.31025524	-91.24402040	F	NAD83
USGS	05388400	Wexford Creek near Harpers Ferry, IA	43.27275626	-91.13346280	F	NAD83
USGS	05388430	MARSH NEAR HARPERS FERRY, IA (P10DD1)	43.16220330	-91.16290750	S	NAD83
USGS	05388450	Paint Creek at Waukon, IA	43.25303227	-91.47347270	F	NAD83
USGS	05388500	Paint Creek at Waterville, IA	43.21025710	-91.30596660	F	NAD83
USGS	05388600	Paint Creek near Waterville, IA	43.17831380	-91.26568729	F	NAD83
USGS	05388700	Little Paint Creek Tributary near Waterville, IA	43.23970127	-91.25207570	F	NAD83
USGS	05388770	Yellow River near Postville, IA	43.14131170	-91.57064520	5	NAD83
USGS	05388800	Yellow River at Myron, IA	43.16081177	-91.53319860	F	NAD83
USGS	05388810	Williams Creek on Minert Road site 010	43.11369050	-91.54803890	H	NAD83
USGS	05388820	Williams Creek at Bethal Road site 020	43.11989627	-91.52339580	H	NAD83
USGS	05388821	Williams Creek Trib 1 site 030	43.12775700	-91.53347680	H	NAD83
USGS	05388822	Williams Creek Trib on Williams Creek Rd site 022	43.11277985	-91.51853450	H	NAD83
USGS	05388823	Williams Creek Trib on Cherry Valley Road site 023	43.11978239	-91.52284300	H	NAD83
USGS	05388830	Williams Creek on Williams Creek Road site 030	43.12672655	-91.53008219	H	NAD83
USGS	05388831	Williams Creek Trib 2 on Williams Cr Rd site 030	43.12716845	-91.51338960	H	NAD83
USGS	05388840	Williams Creek near Brainard Pass Road site 040	43.13228770	-91.51614800	H	NAD83
USGS	05388841	Williams Creek Trib 3 nr Brainard Pass Rd site 041	43.13222940	-91.51459800	H	NAD83
USGS	05388850	Williams Creek at David Smith Field site 050	43.13791010	-91.49086620	H	NAD83
USGS	05388870	Williams Creek on Jackson Hollow Road site 070	43.11068870	-91.47841320	H	NAD83
USGS	05388880	Williams Creek nr Interchange X16 and B38 site 080	43.11943290	-91.47897150	H	NAD83
USGS	05388900	Williams Creek on County Hwy X16 site 100	43.14269360	-91.45749250	H	NAD83
USGS	05389000	Yellow River near Ion, IA	43.11192665	-91.26513170	F	NAD83
USGS	05389200	Bloody Run Trib at Spook Cave near Froelich, IA	43.03331720	-91.30763370	F	NAD83
USGS	05389250	Bloody Run Site No 2 near Giard, IA	43.03553970	-91.26679840	F	NAD83
USGS	05389400	Bloody Run Creek near Marquette, IA	43.04081747	-91.20651920	F	NAD83
USGS	05389500	Mississippi River at McGregor, IA	43.02701224	-91.17262980	S	NAD83
USGS	05389501	Mississippi River Tributary at McGregor, IA	43.01692918	-91.19818570	F	NAD83
USGS	05411200	Sny Magill Creek No 3 Site near Clayton, IA	42.98137435	-91.24096410	F	NAD83
USGS	05411230	West Fork Sny Magill Creek near Clayton, IA	42.97637440	-91.23679740	F	NAD83
USGS	05411260	North Cedar Creek near Clayton, IA	42.96276350	-91.22929740	F	NAD83
USGS	05411290	Sny Magill Tributary near Clayton, IA	42.96859676	-91.22429730	F	NAD83
USGS	05411300	Sny Magill Creek No 2 Site near Clayton, IA	43.03553970	-91.26679840	F	NAD83
USGS	05411400	Sny Magill Creek near Clayton, IA	42.94859710	-91.18624120	F	NAD83
USGS	05411500	Mississippi River at Clayton, IA	42.90359810	-91.14512960	F	NAD83
USGS	05411520	SHALLOW MARSH NEAR GUTTENBURG, IA (P10DA3)	42.85082187	-91.08012860	S	NAD83
USGS	05411525	RIVER SLOUGH NEAR MILLVILLE, IA (P11DA5)	42.73638040	-91.05846200	S	NAD83
USGS	05411530	North Branch Turkey River near Cresco, IA	43.37080130	-92.21378000	F	NAD83
USGS	05411550	North Branch Turkey River near Vernon Springs, IA	43.34913505	-92.18794620	F	NAD83
USGS	05411560	Turkey River near Vernon Springs, IA	43.33691300	-92.11988890	F	NAD83
USGS	05411595	Bohemian Creek near Protivin, IA	43.22555556	-92.02138890	5	NAD83
USGS	05411600	Turkey River at Spillville, IA	43.20727778	-91.95033330	1	NAD83
USGS	05411620	Little Turkey River near Waucoma, IA	43.02136490	-91.97822430	F	NAD83
USGS	05411650	Crane Creek Tributary near Saratoga, IA	43.37111110	-92.40527780	S	NAD83
USGS	05411700	Crane Creek near Lourdes, IA	43.24913660	-92.30906240	F	NAD83
USGS	05411750	Crane Creek near Lawler, IA	43.05219717	-92.11406070	S	NAD83
USGS	05411770	Crane Creek near Alpha, IA	42.99275430	-92.04267140	S	NAD83
USGS	05411800	Little Turkey River near Alpha, IA	43.00916667	-91.95488890	S	NAD83
USGS	05411850	Turkey River near Eldorado, IA	43.05418790	-91.80909830	1	NAD83
USGS	05411870	Turkey River at Elgin, IA	42.95775896	-91.62459500	F	NAD83
USGS	05411900	Otter Creek at Elgin, IA	42.95241667	-91.64297220	1	NAD83
USGS	05411950	Big Spring near Elkader, IA	42.90915055	-91.46708550	F	NAD83
USGS	05411980	Hatchery Creek near Gunder, IA (HS-5)	42.95942766	-91.50347640	F	NAD83
USGS	05411982	Hatchery Creek Southeast of Gunder, IA (HS-6)	42.94637240	-91.48319760	F	NAD83
USGS	05411984	Hatchery Creek Trib North of Big Spring, IA (HS-4)	42.94137266	-91.46041870	F	NAD83
USGS	05411986	Hatchery Creek Tributary nr Big Spring, IA (HS-2)	42.93498370	-91.46847459	F	NAD83
USGS	05411988	Hatchery Creek near Big Spring, IA (HS-3)	42.92665040	-91.46847450	F	NAD83
