ifis_id,covs_train,lags_train,covs_test,lags_test,granger,bottom_width,elevation,mannings,dynamics,tf21,tf31,tf32,ss1,ss2,ss3,ss4,oe221,oe211,lat,lon,usgs_dist,usgs_lat,usgs_lon,slope
BEARCRK01,0.570947341158516,10,-0.0254311195704912,93,1,15,225.61,0.055,0.75,-48.7232500363977,-45.5310957594149,-43.0376420337245,-44.5857642392698,-40.7966003228125,-44.3236927857251,-44.8180624008998,-49.0854125673641,-43.0707632367654,42.0809,-91.809,1.19201549940742,42.0819409,-91.7946245,0.002
BEAVER01,0.58840664926477,3,0.423157684550993,2,1,7,307.89999,0.059999999,0.66,26.8306881287731,26.8331760405883,29.5088067978101,18.2224743588175,25.6443830301087,27.0854346684354,26.9908150934902,26.8320224338283,26.8349607307465,43.066578,-92.528143,1.67904631981113,43.0671956,-92.5487949,0.002
BEAVER02,0.482037928641357,2,0.382286638992778,2,1,7,317.07999,0.059999999,0.25,27.8051242623904,27.8644663199274,35.3217441207588,24.9062371555671,27.6206128102654,27.4406610184176,27.8688960169344,27.5890925361697,27.840622425322,43.098201,-92.5402,3.51759511460762,43.0671956,-92.5487949,0.003
BEAVER03,0.455975340442281,3,0.332861154512127,1,1,7,332.09,0.059999999,0.5,27.0174354959442,32.6445779588908,47.5840901584508,26.5471429222845,26.7088295711393,15.1211049391385,27.3419039358483,26.5239094078061,27.0985302248992,43.133878,-92.567574,7.47315340426492,43.0669176,-92.5754627,0.002
BEAVERCRK01,0.388593147687701,71,0.0160460026700567,29,0,10,298.48001,0.055,1,-57.7671702487276,-18.9890048233475,-77.1206492486615,-71.0127750573366,-126.35325490677,-103.165799578833,-247.301119949069,-31.3169384406872,-72.0007698209415,41.995981,-94.125602,4.49573471136391,42.03192606,-94.1505154,0.001
BEVRCRK01,0.401326429659273,10,0.00835471818951742,15,1,10,295.73999,0.055,0.7,40.7651732037532,40.574661990822,19.4937858149234,5.80679127190877,0.727266459964249,18.73332463515,10.2767334492503,17.5386444004524,18.3460479507769,42.3609,-93.1395,1.88686022186835,42.3463333,-93.1277222,0.002
BEVRCRK02,0.25484018495343,6,0.044144894799729,9,1,7,333.39999,0.059999999,0,-18.6358916831581,-4.47892110726471,15.2420270971659,-45.031591345664,-35.5461378892088,1.10339351107315,2.86488569081977,-17.7934871277495,-19.3837241740935,42.4553,-93.2233,8.5145384786562,42.522202,-93.2738146,0.002
BFFLOCR01,0.447706343061833,5,0.357372763413933,4,1,10,216.06,0.055,1,-7.11610412641137,-6.04212744165704,-31.3137843330197,-22.9566701712956,-27.5757539066849,-20.347256983359,-20.7700835399282,-8.76748390443052,-8.52511777039931,41.7123,-91.6995,3.44229862588445,41.7183455,-91.7401737,0.001
BFFLOCR02,0.328120278003759,4,0.268629085611757,2,1,7,224.72,0.059999999,0.75,-33.3213286759315,-33.3397278667496,-10.6931668292094,3.68708811024119,-25.0932762214749,-23.3454868566596,-18.2738343668653,-16.277800758651,-16.3061669533864,41.7232,-91.6666,5.43494760711932,41.69168128,-91.6165597,0.003
BIGCRK01,NaN,0,NaN,0,0,10,292.92001,0.055,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.863424,-93.759955,8.82684141445499,41.87188889,-93.8659444,0.002
